user_id,email,registration_date,user_segment,academic_role,research_field,institution,country,subscription_tier
0d00648c-3b39-4bf0-b45e-a1ec7d83d7c4,emma.smith@otheredu.com,2025-06-20 20:53:05.125722,Librarian,Librarian,Psychology,Other University,USA,free
8717f17e-43ba-44d0-8e69-f044a5ebacc0,james.brown@otheredu.com,2025-09-14 07:22:38.154911,Industry,Analyst,Psychology,Other University,USA,premium
4ed9916b-2f9b-40e6-95c3-cce43f294047,maria.williams@oxfordedu.com,2024-04-16 17:00:30.812977,Student,Undergraduate,Computer Science,Oxford University,Germany,free
747923f5-2e24-4320-b083-3d27bfd35c22,emma.lee@cambridgeedu.com,2025-07-18 20:12:48.291813,Academic,Assistant Professor,Physics,Cambridge University,Netherlands,free
0890d4f5-69d8-43a7-aca1-58ac36bc6b0b,michael.martinez@stanfordedu.com,2024-01-24 02:19:40.066354,Academic,Postdoc,Medicine,Stanford University,Brazil,free
a78d3552-a0f5-4cb1-9da4-f52c95fd5824,min.smith@cambridgeedu.com,2025-06-16 19:18:10.352127,Student,Masters Student,Chemistry,Cambridge University,Canada,free
01c21ef0-5f6a-4c89-b5df-c718060236aa,john.johnson@harvardedu.com,2024-04-14 16:48:22.232214,Student,Undergraduate,Chemistry,Harvard University,France,free
fd935870-809f-4be8-a90e-27eda6b71cce,robert.brown@otheredu.com,2025-08-11 06:28:32.950842,Academic,Researcher,Biology,Other University,Brazil,premium
252b0a9f-0c13-4b5d-923d-fc6483d721fb,john.rodriguez@otheredu.com,2025-02-26 18:52:16.588872,Industry,Analyst,Medicine,Other University,Netherlands,free
55211ccd-8345-4f00-8aeb-d5aa9ae2af36,robert.wang@harvardedu.com,2024-09-29 06:35:10.977745,Academic,Assistant Professor,Economics,Harvard University,Germany,free
943275f8-cca6-4518-ab63-9d4f4e5e1b62,min.brown@otheredu.com,2024-06-26 16:59:43.326396,Student,PhD Student,Economics,Other University,USA,free
065f5c5e-03e8-4225-96c3-2c8d1771d51c,wei.martinez@otheredu.com,2024-05-28 17:23:53.313272,Academic,Associate Professor,Physics,Other University,USA,free
82047a46-30b7-4c1b-9eca-e4556a782ba9,james.kim@mit.com,2025-09-02 05:04:51.513504,Industry,Analyst,Biology,MIT,China,free
68645d17-1180-49c1-8781-4cdbcc85ce9d,john.kim@oxfordedu.com,2025-01-01 21:34:40.023774,Academic,Associate Professor,Physics,Oxford University,USA,free
c07f565b-8f22-4ab3-9237-8f87fa8e2fb0,lisa.wang@nationaleduofsingapore.com,2024-09-09 02:50:20.765440,Academic,Associate Professor,Economics,National University of Singapore,USA,free
8def0ff4-0434-4e46-93a3-b5800701529b,min.garcia@otheredu.com,2025-08-12 20:54:46.571015,Industry,Data Scientist,Chemistry,Other University,Australia,free
8e3ddc84-fdf2-45a5-a129-13fa87a6ad0c,james.williams@otheredu.com,2025-02-22 01:32:08.365700,Academic,Researcher,Chemistry,Other University,Japan,free
373b7b9f-b07c-450b-9688-d80337e8f74d,robert.kim@otheredu.com,2023-11-04 16:03:01.410394,Academic,Postdoc,Mathematics,Other University,South Korea,free
f4594e1f-4892-45e6-a342-add39ca17956,william.johnson@otheredu.com,2023-09-07 20:20:49.602379,Academic,Assistant Professor,Medicine,Other University,China,free
9a247d03-348c-4db1-be31-786a2a6a56c8,michael.miller@oxfordedu.com,2025-08-05 23:50:35.250116,Student,Undergraduate,Economics,Oxford University,USA,free
2c5743c6-e605-42cf-857b-094db4193825,emma.garcia@otheredu.com,2025-05-04 20:41:00.427770,Academic,Assistant Professor,Psychology,Other University,China,free
22ec28e4-fc05-4e98-8639-82c34430e45f,olivia.martinez@otheredu.com,2024-11-24 14:50:50.196148,Student,Undergraduate,Sociology,Other University,China,free
afcd82b3-8ded-4c9d-81f3-7443aef02f3b,james.kim@otheredu.com,2025-07-15 20:39:13.961286,Student,Undergraduate,Computer Science,Other University,China,free
0d78fd65-6c14-4c70-bcb0-5471bde48885,sarah.wang@oxfordedu.com,2025-07-01 08:57:01.548940,Academic,Assistant Professor,Mathematics,Oxford University,Netherlands,free
dbeb47cc-ce6a-4c38-822e-1fe3919e4454,wei.rodriguez@nationaleduofsingapore.com,2024-12-26 22:38:46.916251,Academic,Associate Professor,Computer Science,National University of Singapore,China,free
33581657-def4-4970-bd8e-6e5a8aa5cb4c,emma.singh@harvardedu.com,2025-01-30 10:53:30.814712,Academic,Postdoc,Economics,Harvard University,USA,free
c7234a60-abdf-4313-827a-dc301773990e,richard.johnson@oxfordedu.com,2025-03-03 17:41:15.335243,Academic,Associate Professor,Sociology,Oxford University,USA,free
a764322b-2e87-4e4f-92ff-be38f2ea5603,sophia.sato@stanfordedu.com,2025-08-19 16:41:23.626078,Academic,Assistant Professor,Psychology,Stanford University,China,free
f7b150ef-2837-4df2-ae43-91ab12739be0,olivia.martinez@otheredu.com,2023-02-03 07:34:09.609194,Industry,Engineer,Medicine,Other University,South Korea,free
b4c198b3-9e06-4fb7-8618-2daf3dc6b643,robert.wang@otheredu.com,2025-04-11 04:24:18.834607,Student,Masters Student,Mathematics,Other University,Japan,free
d0a57db2-22ae-4c04-ae33-6c2e51217315,michael.smith@otheredu.com,2025-06-29 22:35:20.206914,Academic,Associate Professor,Chemistry,Other University,France,free
0316c161-22e8-4ae5-b8c8-b07ecbf583df,maria.kim@otheredu.com,2025-09-08 23:52:53.196797,Student,Masters Student,Psychology,Other University,USA,free
4a1936b8-9db9-4c10-980f-a57f6ec9050e,sophia.johnson@eduoftokyo.com,2025-01-04 04:11:15.741090,Student,Masters Student,Biology,University of Tokyo,UK,enterprise
e8c16aee-9ada-4fa8-8d2d-ee305311e10b,maria.sato@harvardedu.com,2025-08-19 07:34:33.486321,Student,Masters Student,Mathematics,Harvard University,China,free
c17e0817-b76f-41b6-a17d-2fb4d09e8991,emma.miller@otheredu.com,2024-11-03 10:43:51.583600,Student,PhD Student,Physics,Other University,China,free
79729a53-1c72-45a1-8b7f-5f938f02641a,james.davis@harvardedu.com,2022-09-26 09:25:52.731900,Academic,Associate Professor,Biology,Harvard University,Canada,free
a296e71f-aaa3-46a9-90e3-df925f7706b4,olivia.williams@stanfordedu.com,2024-01-09 00:53:56.803623,Student,PhD Student,Chemistry,Stanford University,Canada,free
dc4a1f04-c5ec-4c29-8574-8b9040de4bea,olivia.garcia@ethzurich.com,2022-09-26 09:25:52.731900,Librarian,Librarian,Engineering,ETH Zurich,USA,premium
d0f0858a-5fd3-4dba-b7b5-29fc78af9db5,robert.lee@stanfordedu.com,2025-05-30 16:57:55.935119,Librarian,Librarian,Computer Science,Stanford University,China,free
24b88152-495f-4f77-8291-3f259a87bd95,james.wang@cambridgeedu.com,2025-07-25 15:19:13.213960,Academic,Assistant Professor,Economics,Cambridge University,India,premium
aaa02499-db73-49e9-92bb-2edbc2644163,michael.martinez@ucberkeley.com,2025-09-11 19:42:05.490161,Student,PhD Student,Engineering,UC Berkeley,China,free
